source_uuid,source_label,target_uuid,target_label,relation,weight
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,3bc16964-ce1b-5330-955d-a9502e6a7a5c,应对技巧,推荐干预,0.9
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,1b25c646-ec4c-5439-9bb5-27e1e5833692,应对技巧,推荐干预,0.9
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,0a6b348f-4fd4-5e8b-98f5-c94c0f48dcb6,应对技巧,推荐干预,0.9
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,1387ac2f-2c67-5214-b91c-0b4a459ddfec,应对技巧,推荐干预,0.9
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,2b076b4b-d6c6-58d6-b595-295f9a90a5a5,文章,科普阅读,0.95
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,db76b211-b46d-5acd-81bf-e74d6d9e62f3,文章,科普阅读,0.95
eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,e5da52f9-b4e2-549c-b32a-1943d53bee21,校园政策,依据政策,0.9
a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d,校园事件,eecc14d8-14a7-5449-9149-3e7d8de66810,心理问题,诱导场景,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,3f4b45f3-02e7-57d5-904b-a2343c905f48,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,e303fbb7-dfce-5db3-9ba5-2f9e32d5cf5a,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,2b13f8cd-54e9-56c3-a393-bc947f617ab3,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,d0b4d133-1d7e-59d0-aba6-4a487560578c,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,07e98330-e4ce-519e-a6eb-2f556ef3ca61,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,030ba14e-3cf5-57cd-9b9e-062159bf69c7,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,9e78f448-69f6-5ba5-b79d-0922009f9539,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,2b9a6960-32c8-58aa-a0a3-500134b5df5b,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,f63a3942-d463-52da-bc31-5813e1a6f3dd,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,8ed2140d-a84a-521e-aa21-09c3d4044975,症状,临床症状,0.8
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,7076d791-ec23-58a1-9a43-781f2cecec7b,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,686268a9-f8ab-57a3-99b9-a9d04c6c22a1,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,d07e4f5d-09ee-56f8-9805-43ea33d22ef1,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,65851f86-492f-5ee8-b2a8-bc9d329cebcf,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,60172896-4c9d-5cfd-b7e5-de6a2ef14abe,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,dbe87ff8-ac28-5311-a62e-242695e09280,应对技巧,推荐干预,0.9
00b40943-4c97-5fda-8cff-5c478d061786,心理问题,db76b211-b46d-5acd-81bf-e74d6d9e62f3,文章,科普阅读,0.95
